price,rooms,square_meters,floor,max_floor,street,imageurl,Elevator,parking,saferoom,condition,potential,Balcony,airways,balcony_size
₪1000000,1.0,18,0,,המלך ג'ורג',https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪1800000,1.0,36,6,,פלורנטין,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪1850000,2.0,38,5,,עין הקורא ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2100000,2.0,40,4,,אברבנל,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪1900000,1.0,30,3,,יהודה הלוי ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2400000,2.0,38,1,,בן יהודה ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2450000,2.0,41,0,,הקליר,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2500000,2.0,44,2,,אבן גבירול ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2500000,2.0,41,2,,נחלת בנימין,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2500000,2.5,52,2,,בפלורנטין,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
